'album:Vancouver 2015', 'Vancouver, CA', '09/10/2015', 'travel'
'Coal Harbour Community Center', 'vancouver-2015/DSC_3071.jpg', 's/m2rjko03uv9q8cp/DSC_3071.jpg', 'Coal Harbour Community Center, Vancouver', 'Nikon D7100', '10mm', 'f/8', '1/2000s',1000, '09/11/2015',1440,871
Habour Green Park, 'vancouver-2015/DSC_3087.jpg', 's/yu7ennfjof3abqy/DSC_3087.jpg', 'Harbour Green Park, Vancouver', 'Nikon D7100', '10mm', 'f/8', '1/800s',500, '09/11/2015',1440,810
Vancouver Rowing Club, 'vancouver-2015/DSC_3122.jpg', 's/4mtlpu2z7n1b0a0/DSC_3122.jpg', 'Stanley Park, Vancouver', 'Nikon D7100', '10mm', 'f/8', '15s',100, '09/11/2015',1440,771
Vancouver Rowing Club, 'vancouver-2015/DSC_3128.jpg', 's/dnrtdo6620ia2x6/DSC_3128.jpg', 'Stanley Park, Vancouver', 'Nikon D7100', '11mm', 'f/8', '1s',100, '09/11/2015',1440,776
Harbour Sunset at Stanley Park, 'vancouver-2015/DSC_3147.jpg', s/ij863hzvftesjp6/DSC_3147.jpg, 'Stanley Park, Vancouver', 'Nikon D7100', '10mm', 'f/8', '1.3s',100, '09/11/2015',1440,620, cover
Harbour Reflections, 'vancouver-2015/DSC_3156.jpg', 's/tfduitfxnfd0elb/DSC_3156.jpg', 'Stanley Park, Vancouver', 'Nikon D7100', '17mm', 'f/8', '8s',100, '09/11/2015', 1440, 677
Japanese Crepes, 'vancouver-2015/DSC_3160.jpg', s/rkpwslkfpr9bh3l/DSC_3160.jpg, 'Richmond Night Market, Vancouver', 'Nikon D7100', '10mm', 'f/4', '1/640s',2000, '09/11/2015', 1440, 1016
Under Granville Bridge, vancouver-2015/DSC_3186.jpg', s/sjwsf6ft5kmmgq1/DSC_3186.jpg, 'Granville Island, Vancouver', 'Nikon D7100', '10mm', 'f/8', '1/60s',100, '09/12/2015', 1440, 960
Goodbye Vancouver, vancouver-2015/DSC_3249.jpg', s/qn3migrkxcpsuw2/DSC_3249.jpg, 'Vancouver Airport', 'Nikon D7100', '20mm', 'f/8', '1/80s',1000, '09/13/2015', 1440, 960
Sunrise at the Airport, vancouver-2015/DSC_3253.jpg', s/2lfx5fi1wz82ni3/DSC_3253.jpg, 'Vancouver Airport', 'Nikon D7100', '16mm', 'f/8', '1/125s',1000, '09/13/2015', 1440, 960
'album:Crater Lake 2015', 'Crater Lake, OR', '09/05/2015', 'travel'
Stargazing by the Camp Fire, 'crater-lake-2015/DSC_2837.jpg', s/vb70frx1tw7dbqi/DSC_2837.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/4', '30s', 64000, '09/05/2015', 1440, 960
Stargazing, 'crater-lake-2015/DSC_2840.jpg', s/sjguj4087nue0iq/DSC_2840.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/4', '30s', 64000, '09/05/2015', 1440, 960
Stargazing Long Exposure, 'crater-lake-2015/DSC_2842.jpg', s/l9abvmr4jofs9tx/DSC_2842.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/8', '30m', 100, '09/05/2015', 1440, 960
Sunrise at Crater Lake, 'crater-lake-2015/DSC_2856.jpg', s/5yas0j4vgc628ee/DSC_2856.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/8', '30s', 100, '09/11/2015', 1440, 977, cover
Mount Scott, 'crater-lake-2015/DSC_2905.jpg', s/l62jotu6072s5e9/DSC_2905.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/8', '1/250s', 100, '09/06/2015', 1440, 784
Rim Drive, 'crater-lake-2015/DSC_2969.jpg', s/0whp4i1z74tbxc1/DSC_2969.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/8', '1/320s', 100, '09/06/2015', 1440, 904
One Last Drive, 'crater-lake-2015/DSC_3021.jpg', s/2kfj7nhhvybiv85/DSC_3021.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/8', '1/80s', 1000, '09/06/2015', 1440, 866
Milky Way over Crater Lake, 'crater-lake-2015/DSC_3038.jpg', s/08thp5umaua6vre/DSC_3038.jpg, 'Crater Lake National Park, OR', 'Nikon D7100', '10mm', 'f/4', '30s', 6400, '09/06/2015', 1440, 960
